ID	ran_in_way_pipeline	ClusterK2_kmeans	ClusterK3_kmeans	ClusterK4_kmeans	ClusterK2_NMF	ClusterK3_NMF	ClusterK4_NMF	ClusterK4_kmeans_TCGA_names	external_HGSCsubtype_estimate
Sample_20160X61	True	2.0	2.0	4.0	1.0	3.0	4.0	Differentiated	
Sample_20160X78	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X132	True	1.0	1.0	1.0	2.0	2.0	1.0	Mesenchymal	
Sample_20160X161	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X79	True	1.0	1.0	1.0	2.0	1.0	2.0	Mesenchymal	
Sample_20160X133	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X184	True	1.0	1.0	1.0	2.0	1.0	4.0	Mesenchymal	
Sample_20160X134	True	1.0	1.0	1.0	1.0	3.0	2.0	Mesenchymal	
Sample_20160X185	True	2.0	2.0	4.0	1.0	2.0	4.0	Differentiated	
Sample_20160X135	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_18341X21	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	C5.PRO
Sample_20160X289	True	1.0	1.0	1.0	2.0	2.0	3.0	Mesenchymal	
Sample_20160X136	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X23	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
